16,22
0,A1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,K1,0,0,0,0,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0
0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,D1,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
K2,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,D3,D3,0
0,0,-1,0,0,0,0,0,0,0,0,0,-1,K3,-1,0,0,-1,-1,0,0,-1
0,-1,0,0,0,-1,-1,-1,D2,D2,-1,0,-1,0,-1,0,-1,T1,0,0,0,-1
0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1
0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,D1,0,0,0,0,0,0,0
